#{"t_start": 1575086793.585533, "env_id": null}
r,l,t
4608,9999,5.92709
4528,9999,10.469035
4557,9999,15.095336
4609,9999,19.628528
4679,9999,24.102151
4588,9999,28.304887
4593,9999,32.534652
4573,9999,36.759549
4608,9999,40.855259
4561,9999,45.094941
4506,9999,49.365901
4626,9999,53.607692
4601,9999,57.899978
4616,9999,62.146329
4731,9999,66.387023
4552,9999,70.641086
4550,9999,74.717533
4643,9999,78.972969
4669,9999,83.224433
4598,9999,87.457629
4566,9999,91.683724
4657,9999,95.90553
4544,9999,100.133027
4600,9999,104.37046
4629,9999,108.623378
4599,9999,112.694115
4654,9999,116.94435
4658,9999,121.175319
4676,9999,125.415849
4560,9999,129.65735
4668,9999,133.905951
4628,9999,138.163957
4582,9999,142.394869
4603,9999,146.476388
4675,9999,150.717266
4560,9999,154.958314
4567,9999,159.193266
4584,9999,163.436484
4609,9999,168.095596
4586,9999,172.866391
4563,9999,178.167562
4672,9999,183.24945
4689,9999,187.471192
4577,9999,191.851015
4645,9999,196.238578
4628,9999,200.651381
4671,9999,205.060549
4643,9999,209.45791
4630,9999,213.860517
4646,9999,218.250142
4657,9999,222.495187
4698,9999,226.901906
4654,9999,231.2975
4709,9999,235.683816
4750,9999,240.073479
4639,9999,244.672411
4578,9999,250.150792
4521,9999,255.189871
4499,9999,259.615873
4553,9999,263.884659
4568,9999,268.283835
4558,9999,272.684566
4641,9999,277.098714
4650,9999,281.498722
4638,9999,285.896199
4471,9999,290.268651
4466,9999,294.663606
4529,9999,299.855296
4546,9999,305.126738
4608,9999,309.536853
4484,9999,313.941822
4604,9999,318.344428
4569,9999,322.811919
4433,9999,327.203912
4504,9999,331.58542
4629,9999,335.963359
4632,9999,340.172415
4584,9999,344.549103
4444,9999,348.935523
4563,9999,353.27828
4677,9999,357.660929
4500,9999,362.321222
4668,9999,367.114604
4633,9999,371.924824
4727,9999,376.491084
4712,9999,381.479027
4713,9999,386.559471
4671,9999,392.221205
4683,9999,397.633732
4704,9999,402.861016
4690,9999,408.059477
4814,9999,413.130721
4644,9999,418.111503
4645,9999,423.097881
4678,9999,428.4349
4686,9999,433.770522
4682,9999,438.715473
4735,9999,443.28082
4680,9999,447.900878
