fps,policy_loss,policy_entropy,total_timesteps,time_elapsed,explained_variance,approxkl,value_loss,clipfrac,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean
1362,-0.00021325606,2.995728,2048,2.6226043701171875e-06,0.019336462020874023,6.9151747e-07,27.471766,0.0,2048,1,,
2013,-0.00016622801,2.9957275,4096,1.503739833831787,0.0189056396484375,6.1882156e-07,30.399807,0.0,4096,2,,
2075,-0.00014399912,2.9957263,6144,2.521044969558716,-0.04893505573272705,5.5467524e-07,31.778854,0.0,6144,3,,
2224,-0.00014400673,2.9957242,8192,3.5079269409179688,0.024018704891204834,4.7075895e-07,33.20989,0.0,8192,4,,
2038,-0.0001481309,2.9957235,10240,4.428976774215698,0.017158687114715576,5.261927e-07,29.11347,0.0,10240,5,4608.0,9999.0
2362,-0.00016467832,2.9957147,12288,5.454422950744629,-0.005815982818603516,6.3439063e-07,28.535303,0.0,12288,6,4608.0,9999.0
1984,-0.0001526573,2.9957058,14336,6.321572780609131,0.018988609313964844,6.4561493e-07,27.452112,0.0,14336,7,4608.0,9999.0
2173,-0.00014564066,2.9956982,16384,7.354196786880493,0.015146255493164062,5.382011e-07,30.508972,0.0,16384,8,4608.0,9999.0
2297,-0.00015232542,2.9956832,18432,8.296994686126709,0.011278867721557617,6.1251797e-07,31.296118,0.0,18432,9,4608.0,9999.0
2348,-0.00016907172,2.9956784,20480,9.1887948513031,0.03540903329849243,1.040941e-06,24.92718,0.0,20480,10,4568.0,9999.0
2384,-0.00013985745,2.9956594,22528,10.066690683364868,-0.022753000259399414,9.3245274e-07,29.717403,0.0,22528,11,4568.0,9999.0
2001,-0.00010023829,2.995632,24576,10.925941944122314,-0.021985530853271484,1.4207413e-06,26.039417,0.0,24576,12,4568.0,9999.0
2280,-6.1988416e-05,2.995631,26624,11.949328899383545,0.08107882738113403,9.889831e-07,29.112757,0.0,26624,13,4568.0,9999.0
1922,-0.000112211404,2.9955852,28672,12.84789490699768,0.0034500956535339355,1.507439e-06,27.633724,0.0,28672,14,4568.0,9999.0
2397,-9.184311e-05,2.9955559,30720,13.913389682769775,-0.024242281913757324,1.8467374e-06,23.024572,0.0,30720,15,4564.333333333333,9999.0
2397,-9.677028e-05,2.995556,32768,14.77347183227539,0.006260573863983154,2.0525474e-06,26.78124,0.0,32768,16,4564.333333333333,9999.0
2025,-0.000101351274,2.995552,34816,15.628094911575317,-0.004380464553833008,1.5498914e-06,26.163916,0.0,34816,17,4564.333333333333,9999.0
2370,-2.8391438e-05,2.995501,36864,16.639800786972046,0.10599887371063232,1.2885446e-06,29.013254,0.0,36864,18,4564.333333333333,9999.0
2112,-9.0454705e-05,2.995497,38912,17.504343032836914,0.01078784465789795,1.2857527e-06,27.946377,0.0,38912,19,4564.333333333333,9999.0
2242,-8.283639e-05,2.9955268,40960,18.474190711975098,-0.03583717346191406,1.4392135e-06,19.706203,0.0,40960,20,4575.5,9999.0
2357,-4.7757967e-05,2.995533,43008,19.393725872039795,0.02186131477355957,1.6098271e-06,30.605158,0.0,43008,21,4575.5,9999.0
1869,-7.123112e-05,2.9955533,45056,20.262720823287964,0.05764526128768921,1.1551961e-06,26.789974,0.0,45056,22,4575.5,9999.0
2341,-9.106612e-05,2.995469,47104,21.358693838119507,0.08668303489685059,1.1750884e-06,24.8269,0.0,47104,23,4575.5,9999.0
2405,-0.00010049564,2.9954937,49152,22.23384690284729,0.04898422956466675,2.0619873e-06,23.667843,0.0,49152,24,4575.5,9999.0
2386,-0.00014448547,2.9954684,51200,23.085691690444946,-0.020586490631103516,2.3432817e-06,18.909386,0.0,51200,25,4596.2,9999.0
2388,-0.00011998413,2.9954643,53248,23.950204849243164,0.03339022397994995,2.0482564e-06,23.95496,0.0,53248,26,4596.2,9999.0
2387,-0.00011828709,2.9954662,55296,24.80818200111389,0.08493161201477051,1.9789354e-06,24.45419,0.0,55296,27,4596.2,9999.0
2396,-9.403832e-05,2.995317,57344,25.666207790374756,-0.025156617164611816,1.8391687e-06,23.84348,0.0,57344,28,4596.2,9999.0
2412,-6.222488e-05,2.9953818,59392,26.52128791809082,0.08317267894744873,2.6408975e-06,20.830074,0.0,59392,29,4596.2,9999.0
2380,-0.00010438431,2.9953983,61440,27.370604038238525,0.03324848413467407,1.4537256e-06,17.38979,0.0,61440,30,4594.833333333333,9999.0
2387,-4.693265e-05,2.9954333,63488,28.236849784851074,0.0393490195274353,1.3094407e-06,22.025597,0.0,63488,31,4594.833333333333,9999.0
2393,-0.00017058216,2.9954395,65536,29.094923973083496,0.0007781982421875,1.6848501e-06,19.57903,0.0,65536,32,4594.833333333333,9999.0
2351,-6.869664e-05,2.9953775,67584,29.95097804069519,-0.004687190055847168,1.618963e-06,22.299467,0.0,67584,33,4594.833333333333,9999.0
2384,-7.882938e-05,2.9953868,69632,30.82227087020874,0.11679458618164062,1.319723e-06,19.791462,0.0,69632,34,4594.833333333333,9999.0
2379,-0.000106530766,2.9954212,71680,31.681681871414185,0.018811941146850586,1.9495706e-06,17.906874,0.0,71680,35,4594.571428571428,9999.0
2371,-0.00013704765,2.9953914,73728,32.54849672317505,0.07134145498275757,2.029505e-06,18.96686,0.0,73728,36,4594.571428571428,9999.0
2380,-3.4161425e-05,2.995365,75776,33.412439584732056,0.0176965594291687,1.8486505e-06,18.782827,0.0,75776,37,4594.571428571428,9999.0
2380,-4.1273724e-05,2.9953442,77824,34.272992849349976,0.06531322002410889,9.85048e-07,19.687609,0.0,77824,38,4594.571428571428,9999.0
2380,-9.8933095e-05,2.9953218,79872,35.13361978530884,0.13998693227767944,1.0484422e-06,17.292995,0.0,79872,39,4594.571428571428,9999.0
2378,-0.00012999319,2.995247,81920,35.994340658187866,0.07062196731567383,1.4984684e-06,14.19736,0.0,81920,40,4591.875,9999.0
2364,-0.00012949733,2.9952688,83968,36.8617057800293,0.08158063888549805,1.6901489e-06,16.733532,0.0,83968,41,4591.875,9999.0
2380,-9.441925e-05,2.995276,86016,37.72816205024719,-0.03386569023132324,1.1260609e-06,17.592262,0.0,86016,42,4591.875,9999.0
2355,-3.0503283e-05,2.9951751,88064,38.58902978897095,0.05301731824874878,1.6385618e-06,18.457418,0.0,88064,43,4591.875,9999.0
2349,-9.552799e-05,2.9951727,90112,39.45883798599243,0.10608017444610596,8.5626635e-07,16.735243,0.0,90112,44,4593.666666666667,9999.0
2369,-1.958101e-05,2.9951665,92160,40.33097863197327,0.023141801357269287,1.3467704e-06,14.830304,0.0,92160,45,4593.666666666667,9999.0
2375,-9.055936e-05,2.995276,94208,41.20116186141968,0.02422785758972168,8.8209697e-07,15.392026,0.0,94208,46,4593.666666666667,9999.0
2368,-9.1564725e-05,2.9953134,96256,42.06377387046814,0.006909489631652832,9.969717e-07,15.502813,0.0,96256,47,4593.666666666667,9999.0
