n_updates,serial_timesteps,approxkl,explained_variance,value_loss,time_elapsed,policy_loss,fps,clipfrac,total_timesteps,policy_entropy,ep_len_mean,ep_reward_mean
1,2048,0.0003393499,0.9350382760167122,1.2239056,2.86102294921875e-06,-0.004567552,1795,0.0009765625,2048,1.9438635,,
2,4096,0.00017783235,0.903441920876503,1.1289632,1.1408298015594482,-0.0018132646,2046,0.00014648438,4096,1.629926,,
3,6144,0.0002559099,0.8861532434821129,0.8457383,2.1418538093566895,-0.0026862721,2408,0.00048828125,6144,1.7855867,,
4,8192,0.0011062134,0.9025735110044479,0.6429086,2.9925389289855957,-0.005370047,2387,0.007470703,8192,1.8237629,,
5,10240,0.00022990114,0.693267822265625,3.2287567,3.850800037384033,-0.001631202,2417,0.0,10240,1.5780232,9999.0,4617.0
6,12288,0.0008615096,0.947252694517374,0.94588727,4.714092969894409,-0.0040586344,2398,0.0048828125,12288,2.002168,9999.0,4617.0
7,14336,0.0002174715,0.9147702381014824,0.8696206,5.568498849868774,-0.0015626155,1915,0.0,14336,1.361831,9999.0,4617.0
8,16384,0.00042202082,0.8976080268621445,0.87872344,6.6379640102386475,-0.0026436856,2164,0.0017578125,16384,1.6631482,9999.0,4617.0
9,18432,0.00030808168,0.8858291208744049,0.82392234,7.584502935409546,-0.003560064,2225,0.0005371094,18432,1.7693285,9999.0,4617.0
10,20480,9.929093e-05,0.6980112195014954,3.4539475,8.504958868026733,-0.00078735093,2387,0.0,20480,1.3997995,9999.0,4592.0
11,22528,0.0005269955,0.949916947633028,0.95188904,9.369473934173584,-0.0043105725,2255,0.003515625,22528,2.005249,9999.0,4592.0
12,24576,0.0005158548,0.9161377251148224,0.9302986,10.2778959274292,-0.0027933405,1772,0.002001953,24576,1.2860487,9999.0,4592.0
13,26624,0.00042245528,0.8675843626260757,1.2689581,11.433504819869995,-0.0022455412,2337,0.0022460937,26624,1.6655556,9999.0,4592.0
14,28672,0.00028678062,0.9298456460237503,0.7021264,12.310033082962036,-0.0034072897,1921,0.0013671875,28672,1.6406835,9999.0,4592.0
15,30720,0.00026237385,0.732038289308548,3.2906299,13.376575946807861,-0.0016035993,2085,0.00092773436,30720,1.4160631,9999.0,4575.333333333333
